skill,experience,project_type,complexity,hours,price
web_dev,intermediate,full_website,high,58,5862.74
web_dev,intermediate,api_endpoint,low,49,2199.65
cloud_computing,beginner,automation,low,30,625.5
cloud_computing,intermediate,full_website,medium,40,2387.77
cyber_security,beginner,script,medium,22,711.51
graphic_design,intermediate,saas_mvp,high,249,19371.6
blockchain,expert,automation,low,9,1336.35
content_writing,expert,technical_whitepaper,medium,20,1353.75
web_dev,intermediate,full_website,low,158,5832.07
content_writing,intermediate,growth_hacking,low,74,1988.03
python,expert,api_endpoint,low,13,1236.37
app_dev,intermediate,landing_page,medium,14,983.07
cyber_security,beginner,api_endpoint,low,19,419.84
web_dev,intermediate,web_scraper,low,20,1177.43
content_writing,intermediate,script,medium,20,827.88
cloud_computing,expert,script,high,10,1667.6
web_dev,intermediate,api_endpoint,medium,15,945.96
blockchain,intermediate,saas_mvp,medium,190,20487.88
content_writing,intermediate,script,low,13,429.86
content_writing,intermediate,landing_page,medium,5,180.34
python,expert,api_endpoint,medium,53,6154.98
graphic_design,beginner,growth_hacking,medium,74,985.75
blockchain,expert,web_scraper,medium,25,4185.75
blockchain,intermediate,automation,high,68,9431.69
python,expert,web_scraper,low,6,376.73
ui_ux_design,expert,saas_mvp,high,193,41859.82
blockchain,beginner,smart_contract,low,68,3710.14
cloud_computing,beginner,automation,medium,66,2931.8
cyber_security,intermediate,technical_whitepaper,high,36,3389.69
web_dev,intermediate,ecommerce,low,88,3205.06
blockchain,beginner,smart_contract,low,47,2002.69
cyber_security,beginner,api_endpoint,low,40,1305.66
graphic_design,expert,technical_whitepaper,medium,54,5981.71
data_science,intermediate,technical_whitepaper,high,29,3915.22
graphic_design,intermediate,saas_mvp,high,90,4989.42
web_dev,beginner,api_endpoint,high,13,486.76
cyber_security,intermediate,web_scraper,high,16,1617.85
blockchain,intermediate,saas_mvp,medium,245,26484.55
python,expert,api_endpoint,medium,11,1360.64
graphic_design,beginner,ecommerce,medium,216,4874.32
web_dev,intermediate,ecommerce,high,163,13215.98
app_dev,intermediate,landing_page,high,9,530.9
data_science,expert,automation,high,48,11093.03
cyber_security,beginner,automation,medium,42,1514.53
data_science,expert,script,medium,17,2288.89
blockchain,expert,web_scraper,medium,23,3042.25
web_dev,beginner,web_scraper,medium,9,155.7
data_science,expert,saas_mvp,high,79,18464.95
cyber_security,beginner,saas_mvp,medium,181,10816.05
app_dev,beginner,api_endpoint,medium,45,1389.03
ui_ux_design,intermediate,api_endpoint,high,53,3535.46
web_dev,intermediate,saas_mvp,low,109,4547.99
blockchain,expert,web_scraper,medium,20,2486.59
digital_marketing,intermediate,technical_whitepaper,medium,25,1718.64
cloud_computing,expert,saas_mvp,high,202,60395.92
data_science,expert,ai_model,medium,129,24721.21
app_dev,expert,api_endpoint,medium,23,3370.27
blockchain,intermediate,smart_contract,high,84,11387.11
graphic_design,intermediate,technical_whitepaper,high,62,4576.95
cloud_computing,expert,api_endpoint,medium,33,6009.74
cloud_computing,beginner,technical_whitepaper,low,57,1545.96
digital_marketing,intermediate,ecommerce,low,184,9194.4
app_dev,intermediate,saas_mvp,medium,55,3798.37
data_science,intermediate,saas_mvp,medium,175,14315.01
web_dev,expert,landing_page,high,23,2443.32
app_dev,beginner,automation,high,21,483.23
data_science,beginner,ai_model,low,25,871.17
python,intermediate,web_scraper,medium,8,485.2
cyber_security,expert,saas_mvp,low,122,20824.84
app_dev,beginner,landing_page,low,9,197.71
cyber_security,intermediate,web_scraper,medium,10,633.31
app_dev,intermediate,ecommerce,high,58,5995.3
graphic_design,beginner,ecommerce,medium,46,1296.74
data_science,intermediate,api_endpoint,high,49,4055.36
content_writing,beginner,full_website,high,128,2150.28
cloud_computing,intermediate,technical_whitepaper,low,43,2500.77
cloud_computing,expert,api_endpoint,medium,40,6023.94
content_writing,intermediate,growth_hacking,medium,63,1434.51
cyber_security,intermediate,technical_whitepaper,low,11,691.05
web_dev,expert,landing_page,medium,6,460.92
web_dev,intermediate,ecommerce,high,157,15431.98
python,intermediate,ai_model,low,96,5559.2
blockchain,intermediate,saas_mvp,high,197,28680.72
web_dev,intermediate,full_website,low,25,1147.2
app_dev,intermediate,landing_page,high,34,2699.26
cloud_computing,intermediate,full_website,medium,43,3874.39
ui_ux_design,intermediate,automation,medium,35,2924.62
cyber_security,intermediate,web_scraper,low,14,904.09
app_dev,intermediate,ecommerce,medium,146,12916.94
cyber_security,expert,technical_whitepaper,medium,32,5164.22
graphic_design,intermediate,saas_mvp,medium,117,5213.13
blockchain,expert,technical_whitepaper,low,11,1449.15
app_dev,intermediate,api_endpoint,medium,53,3435.04
web_dev,intermediate,full_website,high,28,1519.72
content_writing,beginner,script,medium,12,128.25
digital_marketing,intermediate,growth_hacking,low,72,1727.9
ui_ux_design,intermediate,automation,medium,12,686.69
content_writing,intermediate,script,medium,2,90.09
cloud_computing,expert,technical_whitepaper,medium,44,6388.01
web_dev,intermediate,full_website,medium,105,5430.53
blockchain,expert,smart_contract,medium,90,17622.45
data_science,intermediate,automation,medium,20,1563.1
cloud_computing,intermediate,technical_whitepaper,high,64,7963.97
python,intermediate,script,medium,6,304.83
graphic_design,intermediate,landing_page,high,34,2123.18
ui_ux_design,intermediate,landing_page,medium,28,1698.46
python,expert,saas_mvp,medium,145,19833.94
web_dev,beginner,api_endpoint,medium,8,93.96
data_science,expert,automation,medium,37,7296.16
graphic_design,expert,landing_page,low,11,736.31
cyber_security,intermediate,saas_mvp,medium,224,23633.19
content_writing,beginner,script,high,3,59.78
content_writing,beginner,technical_whitepaper,high,41,636.97
cyber_security,expert,technical_whitepaper,low,22,2342.3
cloud_computing,intermediate,api_endpoint,high,12,1274.29
cloud_computing,expert,saas_mvp,medium,255,47938.64
blockchain,beginner,web_scraper,medium,17,553.99
web_dev,beginner,saas_mvp,medium,121,3309.25
app_dev,expert,landing_page,high,13,2080.16
python,intermediate,api_endpoint,medium,33,2256.67
content_writing,beginner,full_website,high,135,3711.81
cloud_computing,beginner,script,high,23,741.65
blockchain,intermediate,web_scraper,low,5,408.07
graphic_design,intermediate,growth_hacking,high,42,1809.79
blockchain,intermediate,technical_whitepaper,high,47,4556.48
cyber_security,expert,script,low,11,1406.75
blockchain,intermediate,saas_mvp,medium,211,25357.4
graphic_design,beginner,ecommerce,low,174,2689.62
ui_ux_design,intermediate,api_endpoint,medium,49,3625.36
digital_marketing,intermediate,technical_whitepaper,high,32,2370.15
python,intermediate,automation,high,60,3552.98
digital_marketing,intermediate,growth_hacking,medium,67,4067.53
graphic_design,expert,growth_hacking,low,23,1771.47
blockchain,intermediate,web_scraper,medium,20,1180.88
data_science,intermediate,automation,medium,59,3095.53
blockchain,intermediate,technical_whitepaper,low,57,2842.41
blockchain,intermediate,technical_whitepaper,medium,22,1978.95
data_science,beginner,saas_mvp,medium,75,2169.35
graphic_design,expert,landing_page,medium,8,783.81
python,expert,api_endpoint,high,28,3743.77
cyber_security,expert,api_endpoint,low,42,6175.65
graphic_design,expert,ecommerce,medium,181,22141.09
app_dev,expert,automation,high,19,3327.32
python,expert,api_endpoint,medium,49,5275.98
cloud_computing,expert,automation,medium,29,4708.98
ui_ux_design,expert,ecommerce,high,68,10882.37
blockchain,intermediate,automation,high,16,1962.88
blockchain,expert,smart_contract,medium,19,4134.86
cloud_computing,intermediate,saas_mvp,high,222,29934.54
web_dev,intermediate,saas_mvp,high,155,15099.98
digital_marketing,intermediate,saas_mvp,high,252,17547.29
app_dev,expert,saas_mvp,high,173,36665.27
blockchain,beginner,automation,low,18,370.82
data_science,expert,technical_whitepaper,low,23,3228.05
graphic_design,intermediate,landing_page,low,23,441.52
python,intermediate,script,high,3,236.09
ui_ux_design,beginner,automation,medium,34,934.59
ui_ux_design,intermediate,api_endpoint,low,28,1045.02
cyber_security,expert,technical_whitepaper,low,60,7657.54
ui_ux_design,intermediate,full_website,high,97,10477.3
digital_marketing,beginner,full_website,medium,52,1338.21
python,intermediate,script,medium,20,1179.74
content_writing,beginner,technical_whitepaper,medium,16,265.12
app_dev,expert,ecommerce,low,191,17422.22
cloud_computing,intermediate,technical_whitepaper,medium,19,1222.43
web_dev,intermediate,web_scraper,high,16,1356.24
cloud_computing,intermediate,script,high,20,1158.98
cloud_computing,intermediate,full_website,medium,33,2843.26
cyber_security,intermediate,automation,medium,30,2712.54
ui_ux_design,expert,api_endpoint,medium,11,974.19
data_science,beginner,automation,high,43,2043.74
digital_marketing,beginner,full_website,high,112,3069.19
digital_marketing,intermediate,full_website,medium,136,7045.93
ui_ux_design,expert,landing_page,medium,14,1526.82
blockchain,intermediate,api_endpoint,high,20,2513.2
app_dev,expert,full_website,high,156,27614.52
web_dev,beginner,saas_mvp,medium,116,3421.7
cloud_computing,beginner,automation,low,52,849.25
graphic_design,beginner,ecommerce,high,49,1720.05
graphic_design,intermediate,technical_whitepaper,medium,20,603.8
data_science,intermediate,script,medium,12,650.0
graphic_design,intermediate,landing_page,low,13,357.93
cyber_security,expert,saas_mvp,high,256,63938.03
python,beginner,ai_model,low,45,1239.98
data_science,beginner,api_endpoint,low,7,235.69
web_dev,beginner,api_endpoint,low,13,247.03
content_writing,expert,landing_page,medium,20,1051.84
app_dev,expert,automation,high,52,9531.67
data_science,beginner,ai_model,medium,32,1553.1
ui_ux_design,beginner,full_website,medium,133,4152.4
web_dev,expert,ecommerce,high,163,28170.73
content_writing,beginner,ecommerce,high,36,548.55
content_writing,intermediate,script,medium,5,212.51
ui_ux_design,expert,landing_page,high,20,2235.32
python,intermediate,automation,high,18,1466.24
web_dev,beginner,saas_mvp,high,80,2877.25
app_dev,beginner,full_website,high,95,4888.22
data_science,beginner,saas_mvp,high,169,12215.03
app_dev,intermediate,landing_page,medium,14,532.39
blockchain,expert,api_endpoint,high,30,6809.95
app_dev,intermediate,landing_page,medium,35,1306.79
cyber_security,expert,script,low,4,489.31
cloud_computing,intermediate,full_website,medium,80,8213.2
python,expert,script,medium,17,1845.99
python,intermediate,web_scraper,medium,17,670.95
cloud_computing,beginner,full_website,low,116,2341.06
content_writing,expert,full_website,medium,84,5036.82
cyber_security,expert,api_endpoint,medium,26,3711.67
graphic_design,intermediate,saas_mvp,low,269,16357.34
cloud_computing,expert,automation,medium,54,7029.94
graphic_design,expert,full_website,high,95,14386.26
cyber_security,expert,technical_whitepaper,low,30,3757.25
content_writing,expert,script,high,3,236.96
digital_marketing,expert,ecommerce,medium,208,20266.21
content_writing,intermediate,landing_page,medium,26,841.34
web_dev,beginner,landing_page,medium,8,172.58
data_science,intermediate,script,high,10,1095.6
cyber_security,intermediate,script,low,19,1038.01
content_writing,beginner,technical_whitepaper,high,30,590.58
content_writing,expert,script,low,4,166.91
digital_marketing,intermediate,growth_hacking,low,83,3824.32
app_dev,expert,landing_page,medium,12,1641.28
graphic_design,intermediate,full_website,high,36,1618.93
digital_marketing,beginner,full_website,low,73,1183.78
app_dev,expert,full_website,low,94,10762.89
cloud_computing,intermediate,api_endpoint,high,45,3044.46
blockchain,beginner,web_scraper,medium,15,478.8
python,intermediate,saas_mvp,medium,84,6945.05
digital_marketing,intermediate,landing_page,high,17,942.62
app_dev,beginner,api_endpoint,medium,51,1199.97
cyber_security,beginner,technical_whitepaper,medium,57,1655.83
web_dev,intermediate,web_scraper,medium,24,1146.03
data_science,intermediate,saas_mvp,medium,89,9535.44
cyber_security,expert,saas_mvp,medium,123,25935.01
cloud_computing,intermediate,script,medium,10,428.8
blockchain,intermediate,smart_contract,medium,42,5605.85
cloud_computing,intermediate,saas_mvp,high,204,31039.15
app_dev,intermediate,ecommerce,medium,169,15000.49
cloud_computing,expert,technical_whitepaper,high,42,6186.45
cyber_security,expert,web_scraper,medium,28,4735.86
python,intermediate,ai_model,low,39,2367.96
blockchain,expert,automation,medium,22,2781.16
data_science,beginner,script,medium,12,226.28
digital_marketing,beginner,growth_hacking,medium,75,1134.63
ui_ux_design,beginner,landing_page,high,20,550.52
graphic_design,intermediate,saas_mvp,medium,101,7235.78
web_dev,beginner,ecommerce,low,93,2101.81
cloud_computing,intermediate,saas_mvp,high,77,12613.66
digital_marketing,intermediate,ecommerce,low,45,2284.92
cloud_computing,expert,script,high,4,578.31
data_science,expert,script,medium,9,1606.57
content_writing,intermediate,technical_whitepaper,high,30,1611.76
data_science,expert,api_endpoint,medium,20,2276.1
data_science,expert,ai_model,low,78,17916.43
python,intermediate,saas_mvp,high,140,16659.59
python,expert,ai_model,high,83,17825.39
graphic_design,expert,technical_whitepaper,medium,14,1191.98
app_dev,expert,api_endpoint,medium,48,6217.42
digital_marketing,intermediate,full_website,medium,47,1749.53
cloud_computing,intermediate,automation,medium,65,3794.21
ui_ux_design,intermediate,ecommerce,high,128,8546.18
data_science,beginner,script,high,3,154.87
python,expert,api_endpoint,high,18,2977.64
graphic_design,beginner,ecommerce,medium,206,2549.94
graphic_design,expert,saas_mvp,low,190,18178.74
blockchain,intermediate,automation,medium,50,5285.08
data_science,intermediate,ai_model,high,64,6435.73
graphic_design,beginner,growth_hacking,low,14,224.3
ui_ux_design,intermediate,landing_page,low,11,382.3
app_dev,beginner,ecommerce,medium,93,3047.43
data_science,beginner,ai_model,medium,45,1357.29
ui_ux_design,beginner,full_website,low,52,1399.91
cyber_security,expert,saas_mvp,medium,176,39268.66
content_writing,intermediate,full_website,medium,154,5398.58
cyber_security,intermediate,web_scraper,low,6,424.79
data_science,expert,saas_mvp,high,166,52829.03
digital_marketing,beginner,technical_whitepaper,low,24,496.07
web_dev,intermediate,ecommerce,low,58,4299.81
blockchain,beginner,technical_whitepaper,high,51,2463.17
ui_ux_design,expert,landing_page,medium,11,1136.45
python,intermediate,ai_model,low,26,1127.53
graphic_design,intermediate,landing_page,high,29,1439.08
graphic_design,intermediate,ecommerce,low,175,5385.02
graphic_design,beginner,full_website,medium,54,851.23
graphic_design,intermediate,full_website,medium,58,2085.19
graphic_design,beginner,landing_page,low,21,206.07
app_dev,beginner,full_website,high,114,3108.4
app_dev,intermediate,ecommerce,high,60,5491.89
app_dev,intermediate,automation,medium,25,1739.85
cloud_computing,beginner,script,high,23,569.49
cyber_security,beginner,api_endpoint,high,21,1172.22
cyber_security,intermediate,saas_mvp,high,65,8127.59
digital_marketing,beginner,full_website,medium,107,2905.69
content_writing,intermediate,full_website,low,45,1729.48
content_writing,expert,ecommerce,medium,70,5713.17
python,intermediate,saas_mvp,low,135,10338.58
data_science,intermediate,saas_mvp,high,141,15009.35
app_dev,beginner,automation,low,68,875.0
data_science,intermediate,saas_mvp,high,200,32849.37
cyber_security,beginner,technical_whitepaper,medium,19,706.7
app_dev,beginner,saas_mvp,medium,121,3645.89
cloud_computing,intermediate,api_endpoint,medium,47,4035.32
cyber_security,expert,api_endpoint,medium,7,1218.25
cyber_security,intermediate,api_endpoint,medium,17,1658.76
digital_marketing,intermediate,growth_hacking,high,89,5572.85
web_dev,beginner,saas_mvp,high,241,9455.62
ui_ux_design,expert,api_endpoint,medium,37,3208.7
ui_ux_design,expert,ecommerce,medium,111,17769.63
digital_marketing,expert,growth_hacking,low,23,1908.9
python,beginner,saas_mvp,medium,252,4666.49
content_writing,intermediate,growth_hacking,low,55,1926.39
app_dev,intermediate,api_endpoint,low,25,865.11
python,beginner,saas_mvp,medium,240,11244.73
graphic_design,intermediate,technical_whitepaper,medium,27,1471.05
web_dev,expert,saas_mvp,medium,105,13541.32
cloud_computing,beginner,technical_whitepaper,high,62,3737.76
data_science,intermediate,ai_model,high,117,16127.45
cyber_security,expert,web_scraper,medium,10,1163.0
content_writing,intermediate,technical_whitepaper,low,47,1676.79
content_writing,beginner,full_website,high,29,667.77
graphic_design,beginner,saas_mvp,low,131,2725.86
content_writing,intermediate,script,low,10,265.31
content_writing,beginner,landing_page,high,6,77.74
app_dev,intermediate,automation,high,20,1569.19
python,beginner,saas_mvp,medium,188,6732.1
python,beginner,web_scraper,low,12,141.47
graphic_design,beginner,growth_hacking,low,19,265.61
graphic_design,beginner,technical_whitepaper,low,50,491.75
content_writing,intermediate,landing_page,high,27,871.9
data_science,expert,script,low,15,2017.62
content_writing,expert,technical_whitepaper,high,27,2648.97
graphic_design,expert,full_website,high,147,15292.35
blockchain,intermediate,smart_contract,medium,72,10229.58
graphic_design,intermediate,full_website,medium,84,5574.85
blockchain,expert,automation,low,42,4659.33
python,intermediate,web_scraper,high,22,1360.79
python,intermediate,script,high,7,401.62
digital_marketing,beginner,growth_hacking,medium,35,850.65
digital_marketing,intermediate,landing_page,medium,7,359.33
data_science,beginner,ai_model,high,74,3176.94
web_dev,beginner,ecommerce,low,137,3816.98
graphic_design,expert,technical_whitepaper,high,58,7354.68
cyber_security,expert,saas_mvp,high,69,15522.73
data_science,beginner,saas_mvp,low,134,2827.29
data_science,expert,automation,medium,35,4976.67
cyber_security,expert,script,medium,9,1298.3
cloud_computing,expert,technical_whitepaper,low,8,795.6
blockchain,beginner,automation,medium,58,2605.7
cloud_computing,intermediate,automation,medium,70,4432.29
app_dev,expert,saas_mvp,medium,278,33343.75
python,intermediate,web_scraper,low,6,290.79
cloud_computing,beginner,full_website,high,111,3580.02
cloud_computing,beginner,technical_whitepaper,medium,63,1632.42
web_dev,intermediate,saas_mvp,medium,149,12702.23
digital_marketing,expert,technical_whitepaper,high,61,7008.8
data_science,beginner,ai_model,medium,56,2360.23
app_dev,intermediate,api_endpoint,medium,17,1315.72
blockchain,beginner,technical_whitepaper,low,29,816.33
digital_marketing,beginner,full_website,medium,118,1769.73
content_writing,expert,script,low,21,851.84
content_writing,intermediate,technical_whitepaper,low,43,1296.03
blockchain,beginner,smart_contract,medium,90,3887.39
data_science,intermediate,technical_whitepaper,low,63,2771.38
cloud_computing,intermediate,api_endpoint,high,27,1870.88
python,expert,automation,low,51,4473.09
cloud_computing,beginner,api_endpoint,low,32,1119.81
app_dev,intermediate,api_endpoint,medium,11,656.99
web_dev,intermediate,full_website,medium,77,6314.96
graphic_design,beginner,saas_mvp,low,218,3970.3
content_writing,expert,ecommerce,high,111,12697.59
graphic_design,beginner,growth_hacking,medium,46,822.05
data_science,intermediate,ai_model,medium,41,4453.15
python,intermediate,web_scraper,high,31,1703.57
web_dev,expert,ecommerce,medium,95,10071.93
content_writing,beginner,full_website,high,46,1271.1
python,intermediate,api_endpoint,low,47,1674.41
content_writing,intermediate,growth_hacking,high,53,2830.11
cyber_security,expert,automation,medium,34,6664.19
data_science,expert,api_endpoint,high,41,8218.27
content_writing,expert,full_website,medium,35,3500.33
graphic_design,intermediate,growth_hacking,high,37,2612.04
cyber_security,intermediate,automation,medium,24,1443.74
python,beginner,automation,high,55,2156.7
blockchain,beginner,web_scraper,high,12,523.09
blockchain,beginner,automation,medium,39,1693.56
graphic_design,expert,full_website,low,146,12526.09
content_writing,expert,growth_hacking,low,53,2876.74
blockchain,beginner,saas_mvp,low,207,6155.89
blockchain,beginner,saas_mvp,medium,213,10334.81
digital_marketing,intermediate,full_website,medium,48,2798.69
web_dev,beginner,full_website,high,45,1667.53
cyber_security,expert,automation,low,56,6049.46
graphic_design,intermediate,landing_page,high,32,1933.57
python,expert,ai_model,low,85,12456.96
content_writing,intermediate,landing_page,low,10,305.74
python,beginner,script,high,9,199.36
ui_ux_design,intermediate,ecommerce,medium,91,8294.32
cloud_computing,intermediate,api_endpoint,medium,38,3516.47
data_science,beginner,saas_mvp,high,168,12221.69
app_dev,beginner,automation,low,19,445.05
data_science,intermediate,ai_model,medium,107,8783.32
cloud_computing,expert,technical_whitepaper,medium,58,9014.2
web_dev,beginner,ecommerce,medium,162,5963.95
content_writing,beginner,technical_whitepaper,high,59,1186.82
cyber_security,beginner,technical_whitepaper,high,52,1892.84
web_dev,intermediate,landing_page,medium,18,875.64
blockchain,intermediate,web_scraper,low,17,1148.88
cyber_security,beginner,automation,low,55,1591.23
cloud_computing,beginner,technical_whitepaper,medium,48,1300.41
cyber_security,intermediate,saas_mvp,low,166,15246.68
graphic_design,intermediate,full_website,medium,139,6399.09
app_dev,intermediate,automation,low,9,621.8
data_science,intermediate,automation,medium,14,1245.49
cyber_security,intermediate,api_endpoint,medium,43,3822.33
blockchain,intermediate,web_scraper,low,4,309.02
app_dev,intermediate,landing_page,high,31,2330.52
blockchain,beginner,technical_whitepaper,medium,39,1756.36
content_writing,expert,full_website,medium,104,7576.21
cyber_security,intermediate,script,medium,21,1888.18
web_dev,intermediate,full_website,high,133,7027.68
cloud_computing,intermediate,saas_mvp,low,174,19168.26
content_writing,intermediate,landing_page,medium,31,883.63
python,beginner,api_endpoint,low,16,381.94
data_science,intermediate,api_endpoint,medium,8,639.46
web_dev,intermediate,saas_mvp,low,226,13967.49
python,intermediate,automation,high,61,3137.56
blockchain,expert,automation,medium,38,6016.08
digital_marketing,expert,growth_hacking,medium,72,4824.09
content_writing,intermediate,ecommerce,medium,141,6722.01
ui_ux_design,intermediate,automation,high,54,5538.58
data_science,beginner,ai_model,low,126,3911.4
data_science,intermediate,api_endpoint,high,28,2719.96
blockchain,intermediate,api_endpoint,high,34,4660.29
web_dev,intermediate,web_scraper,high,16,1236.38
blockchain,beginner,smart_contract,high,86,7183.72
web_dev,intermediate,full_website,medium,145,8953.78
data_science,beginner,automation,medium,25,542.66
cloud_computing,expert,automation,low,51,6428.05
cloud_computing,intermediate,full_website,medium,87,8329.02
web_dev,expert,saas_mvp,low,95,10729.27
data_science,intermediate,automation,high,41,3148.32
data_science,beginner,saas_mvp,high,140,8063.37
cyber_security,beginner,automation,high,26,927.46
ui_ux_design,expert,landing_page,medium,35,2580.64
content_writing,beginner,script,low,12,138.93
cloud_computing,intermediate,saas_mvp,high,54,8451.67
python,intermediate,saas_mvp,low,190,14650.01
python,beginner,web_scraper,medium,16,379.48
content_writing,intermediate,growth_hacking,medium,26,1032.78
data_science,beginner,ai_model,high,114,5602.13
app_dev,intermediate,saas_mvp,medium,146,8853.46
graphic_design,expert,full_website,low,108,9042.85
graphic_design,intermediate,landing_page,medium,23,755.65
python,intermediate,ai_model,high,96,9890.61
app_dev,intermediate,api_endpoint,medium,21,1390.19
cyber_security,beginner,web_scraper,low,32,947.51
web_dev,intermediate,ecommerce,low,83,5850.98
ui_ux_design,expert,api_endpoint,high,21,3036.44
python,beginner,saas_mvp,medium,86,2620.75
cloud_computing,beginner,automation,medium,12,437.66
app_dev,beginner,automation,medium,33,525.65
graphic_design,intermediate,saas_mvp,medium,233,17781.26
digital_marketing,intermediate,ecommerce,medium,186,9621.73
graphic_design,intermediate,technical_whitepaper,high,27,1162.8
data_science,intermediate,api_endpoint,high,37,3037.15
blockchain,intermediate,web_scraper,high,5,660.12
python,beginner,ai_model,medium,30,1042.23
cyber_security,intermediate,web_scraper,low,7,333.35
ui_ux_design,intermediate,landing_page,medium,31,2008.21
cloud_computing,intermediate,technical_whitepaper,medium,56,5601.57
web_dev,beginner,web_scraper,high,34,1243.5
python,intermediate,script,high,14,668.15
web_dev,intermediate,saas_mvp,medium,124,5920.2
cloud_computing,intermediate,script,high,18,1938.99
app_dev,intermediate,full_website,low,36,2411.96
ui_ux_design,intermediate,api_endpoint,high,48,3685.4
python,intermediate,saas_mvp,low,178,12502.13
graphic_design,intermediate,saas_mvp,high,155,10797.01
app_dev,intermediate,landing_page,medium,11,424.66
blockchain,expert,web_scraper,high,23,4084.06
cloud_computing,beginner,api_endpoint,high,38,1340.81
web_dev,expert,landing_page,medium,22,2291.07
cyber_security,beginner,web_scraper,medium,34,1242.48
data_science,expert,technical_whitepaper,high,24,4941.92
digital_marketing,expert,growth_hacking,medium,14,1388.37
content_writing,intermediate,landing_page,medium,23,669.49
cyber_security,beginner,automation,high,50,3087.37
data_science,beginner,script,medium,25,897.39
python,intermediate,web_scraper,high,6,336.43
app_dev,intermediate,landing_page,low,34,1651.4
data_science,expert,api_endpoint,high,18,4701.72
cloud_computing,expert,full_website,high,84,14491.0
ui_ux_design,intermediate,saas_mvp,medium,100,5433.3
blockchain,intermediate,technical_whitepaper,medium,59,5381.54
app_dev,expert,ecommerce,low,69,7630.79
cyber_security,expert,technical_whitepaper,low,59,7350.09
web_dev,expert,full_website,high,66,12423.72
app_dev,intermediate,api_endpoint,low,49,2306.93
digital_marketing,intermediate,full_website,high,135,6135.19
python,beginner,ai_model,low,51,2051.72
python,intermediate,script,high,14,625.82
digital_marketing,beginner,landing_page,medium,27,510.41
app_dev,expert,automation,medium,9,1212.94
blockchain,beginner,smart_contract,high,52,3896.74
graphic_design,beginner,landing_page,medium,16,186.24
graphic_design,intermediate,ecommerce,medium,192,12574.23
graphic_design,intermediate,technical_whitepaper,low,53,1643.03
blockchain,beginner,technical_whitepaper,medium,48,1280.7
content_writing,intermediate,technical_whitepaper,medium,45,2076.97
content_writing,intermediate,script,medium,23,763.25
content_writing,intermediate,script,medium,12,415.81
web_dev,intermediate,ecommerce,medium,214,13037.87
graphic_design,intermediate,ecommerce,medium,127,9321.94
cloud_computing,intermediate,full_website,low,113,8574.15
blockchain,intermediate,saas_mvp,medium,263,35747.34
cloud_computing,intermediate,technical_whitepaper,medium,22,1709.02
blockchain,beginner,smart_contract,high,66,3121.45
app_dev,beginner,saas_mvp,high,151,7676.3
web_dev,beginner,ecommerce,high,114,5309.3
cloud_computing,expert,saas_mvp,low,220,35416.63
ui_ux_design,expert,landing_page,high,34,5716.71
graphic_design,intermediate,ecommerce,low,98,4164.6
